Team1,Score,Team2,Time,Status
بارما,0-0,ليتشي,,Ongoing
إسبانيول,0-0,ريال مدريد,,Ongoing
سامارتكس,0-0,الرجاء البيضاوي,,Ongoing
باريس سان جيرمان,0-0,ستاد ريمس,,Ongoing
تشيلسي,3-0,وست هام يونايتد,Finished,Finished
ريال سوسيداد,0-0,ريال بلد الوليد,Finished,Finished
جنوى,0-2,فينيسيا,Finished,Finished
بايرن ميونيخ,5-0,فيردر بريمن,Finished,Finished
إيفرتون,1-1,ليستر سيتي,Finished,Finished
بورنموث,0-3,ليفربول,Finished,Finished
برينتفورد,1-3,توتنام هوتسبر,Finished,Finished
لاس بالماس,1-2,أوساسونا,Finished,Finished
التعاون,0-1,الشباب,Finished,Finished
الرياض,2-1,الرائد,Finished,Finished
ستراسبورج,3-3,ليل,Finished,Finished
مانشستر يونايتد,0-0,كريستال بالاس,Finished,Finished
جيرونا,0-2,فالنسيا,Finished,Finished
نابولي,0-0,يوفنتوس,Finished,Finished
جور ماهيا,0-3,الأهلي,Finished,Finished
الفيصلي,1-1,الوحدات,Finished,Finished
لانس,1-1,ستاد رين,Finished,Finished
ديكيداها,0-8,الترجي,Finished,Finished
الجيش الرواندي,1-3,بيراميدز,Finished,Finished
الاتحاد,1-3,الهلال,Finished,Finished
